id,lat,long,DataZone,acc_employment,acc_gp,acc_hospitals,acc_school,acc_supermarket,acc_urbancentre
5968,56.49181213,-2.94328594,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
6029,56.49272272,-2.94168437,S01007794,6.1408789885611075,9.090909090909092,0,71.42857142857143,0,49.18032786885246
5722,56.48996608,-2.94973629,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5723,56.48906782,-2.94971385,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5724,56.48816955,-2.9496914,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5725,56.48727129,-2.94966896,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5726,56.48637303,-2.94964651,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5783,56.49087675,-2.94813497,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5784,56.48997849,-2.94811256,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5785,56.48908023,-2.94809015,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5786,56.48818197,-2.94806774,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5845,56.49088915,-2.94651119,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5846,56.48999089,-2.94648882,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5847,56.48909262,-2.94646645,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5848,56.48819436,-2.94644408,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5907,56.49090152,-2.94488742,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5908,56.49000326,-2.94486508,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5909,56.489105,-2.94484275,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5970,56.49001561,-2.94324134,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5971,56.48911735,-2.94321905,S01007795,5.328115593016255,0,0,42.857142857142854,0,47.540983606557376
5283,56.49436987,-2.96121604,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5284,56.49347162,-2.96119332,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5344,56.49528069,-2.95961479,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5345,56.49438244,-2.95959211,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5346,56.49348418,-2.95956943,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5405,56.49619149,-2.95801346,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5407,56.49439498,-2.95796818,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5408,56.49349672,-2.95794554,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5409,56.49259846,-2.9579229,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5469,56.4944075,-2.95634425,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5470,56.49350924,-2.95632165,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5471,56.49261099,-2.95629905,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5472,56.49171273,-2.95627645,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5473,56.49081447,-2.95625385,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5531,56.49442,-2.95472031,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5532,56.49352174,-2.95469775,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5533,56.49262349,-2.95467519,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5534,56.49172523,-2.95465263,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5535,56.49082697,-2.95463007,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5536,56.48992871,-2.95460751,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5593,56.49443248,-2.95309638,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5594,56.49353422,-2.95307386,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5595,56.49263596,-2.95305134,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5596,56.49173771,-2.95302882,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5597,56.49083945,-2.95300629,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5598,56.48994118,-2.95298377,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
